RESPONDEN,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
1,4,2,5,1,3,2,4,1,5,2
2,3,1,4,2,5,1,3,2,4,1
3,5,2,3,1,4,2,5,1,4,2
4,2,1,5,2,3,1,4,2,5,1
5,4,2,3,1,5,2,4,1,3,2
6,3,1,5,2,4,1,5,2,4,1
7,5,2,4,1,3,2,5,1,4,2
8,2,1,5,2,4,1,3,2,5,1
9,4,2,3,1,5,2,4,1,3,2
10,3,1,5,2,4,1,5,2,4,1
11,5,2,4,1,3,2,5,1,4,2
12,2,1,5,2,4,1,3,2,5,1
13,4,2,3,1,5,2,4,1,3,2
14,3,1,5,2,4,1,5,2,4,1
15,5,2,4,1,3,2,5,1,4,2
16,2,1,5,2,4,1,3,2,5,1
17,4,2,3,1,5,2,4,1,3,2
18,3,1,5,2,4,1,5,2,4,1
19,5,2,4,1,3,2,5,1,4,2
20,2,1,5,2,4,1,3,2,5,1
21,4,2,3,1,5,2,4,1,3,2
22,3,1,5,2,4,1,5,2,4,1
23,5,2,4,1,3,2,5,1,4,2
24,2,1,5,2,4,1,3,2,5,1
25,4,2,3,1,5,2,4,1,3,2
26,3,1,5,2,4,1,5,2,4,1
27,5,2,4,1,3,2,5,1,4,2
28,2,1,5,2,4,1,3,2,5,1
29,4,2,3,1,5,2,4,1,3,2
30,3,1,5,2,4,1,5,2,4,1